quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 ff07::abcd 
PING ff07::abcd(ff07::abcd) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 56 data bytes
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=38 ttl=64 time=61.2 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=38 ttl=64 time=96.2 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=38 ttl=64 time=126 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=39 ttl=64 time=32.1 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=39 ttl=64 time=58.2 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=39 ttl=64 time=64.1 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=39 ttl=64 time=80.6 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=40 ttl=64 time=18.5 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=40 ttl=64 time=114 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=40 ttl=64 time=120 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=40 ttl=64 time=166 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=41 ttl=64 time=27.0 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=41 ttl=64 time=40.7 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=41 ttl=64 time=64.7 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=41 ttl=64 time=94.7 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=42 ttl=64 time=22.6 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=42 ttl=64 time=35.9 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=42 ttl=64 time=76.1 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=42 ttl=64 time=117 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=43 ttl=64 time=55.0 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=43 ttl=64 time=59.7 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=43 ttl=64 time=156 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=43 ttl=64 time=185 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=44 ttl=64 time=21.9 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=44 ttl=64 time=124 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=44 ttl=64 time=151 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=44 ttl=64 time=180 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=45 ttl=64 time=14.4 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=45 ttl=64 time=51.1 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=45 ttl=64 time=112 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=45 ttl=64 time=131 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=46 ttl=64 time=31.6 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=46 ttl=64 time=37.4 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=46 ttl=64 time=88.4 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=46 ttl=64 time=94.7 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=47 ttl=64 time=42.7 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=47 ttl=64 time=48.3 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=47 ttl=64 time=106 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=47 ttl=64 time=132 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=48 ttl=64 time=17.1 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=48 ttl=64 time=53.7 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=48 ttl=64 time=92.7 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=48 ttl=64 time=117 ms
64 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=49 ttl=64 time=23.6 ms
64 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=49 ttl=64 time=61.3 ms
64 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=49 ttl=64 time=148 ms
64 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=49 ttl=64 time=153 ms
