quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 fd31:9326:2ca1:b79e:c357:29:54a3:d428 -s 200
PING fd31:9326:2ca1:b79e:c357:29:54a3:d428(fd31:9326:2ca1:b79e:c357:29:54a3:d428) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 200 data bytes
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=149 ttl=64 time=75.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=150 ttl=64 time=78.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=151 ttl=64 time=64.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=152 ttl=64 time=55.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=153 ttl=64 time=39.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=154 ttl=64 time=68.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=155 ttl=64 time=70.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=156 ttl=64 time=92.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=157 ttl=64 time=78.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=158 ttl=64 time=171 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=159 ttl=64 time=90.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=160 ttl=64 time=54.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=161 ttl=64 time=72.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=162 ttl=64 time=90.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=163 ttl=64 time=99.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=164 ttl=64 time=90.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=165 ttl=64 time=56.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=166 ttl=64 time=61.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=167 ttl=64 time=84.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=168 ttl=64 time=94.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=169 ttl=64 time=127 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=170 ttl=64 time=80.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=171 ttl=64 time=89.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=172 ttl=64 time=49.8 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=173 ttl=64 time=112 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=174 ttl=64 time=64.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=175 ttl=64 time=69.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=176 ttl=64 time=62.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=177 ttl=64 time=55.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=178 ttl=64 time=85.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=179 ttl=64 time=86.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=180 ttl=64 time=93.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=181 ttl=64 time=47.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=182 ttl=64 time=174 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=183 ttl=64 time=102 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=184 ttl=64 time=81.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=185 ttl=64 time=65.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=186 ttl=64 time=58.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=187 ttl=64 time=83.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=188 ttl=64 time=43.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=189 ttl=64 time=107 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=190 ttl=64 time=57.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=191 ttl=64 time=75.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=192 ttl=64 time=133 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=193 ttl=64 time=80.8 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=194 ttl=64 time=79.1 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=195 ttl=64 time=61.8 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=196 ttl=64 time=50.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=197 ttl=64 time=55.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=198 ttl=64 time=80.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=199 ttl=64 time=102 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=200 ttl=64 time=107 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=201 ttl=64 time=54.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=202 ttl=64 time=62.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=203 ttl=64 time=75.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=204 ttl=64 time=126 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=205 ttl=64 time=76.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=206 ttl=64 time=93.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=207 ttl=64 time=87.8 ms
